ha,sw
Dalilin cocin na ƙarshe bisa ga Ayyukan Manzanni 2:42 shine addu'a.,Lengo la mwisho la kanisa kulingana na Matendo Ya Mitume 2:42 ni maombi.
Ya zama mafi marar yiwuwa ne wannan matsoratan kungiyar masunta yafe da tsummoki da su bi ɗai ɗai gaba da horarru da gogaggun sojoji.,"Na zaidi, utaona wafuasi wake wa karibu walitawanyika kwa uoga baada ya kukamatwa kwake na kusulubishwa, haingelikuwa rahisi kwa wavuvi waliokuwa wamevunjika moyo na kutishika, kupambana ana kwa ana na askari walio funzwa,na wenye ujuzi."
"Suna da’awar cewa Yana da iko ya gafarta zunubai – abin da Allah kaɗai ne kan iya yi, tun da yake Allah ne wanda aka yi masa laifin (Ayyukan Manzanni 5:31; Kolosiyawa 3:13; kwatanta Zabura 130:4; Irmiya 31:34).",Waliamini kuwa Yesu alikuwa na uwezo wa kusamehe dhambi jambo ambalo Mungu pekee ndiye mwenye uwezo nalo kwa kuwa ni Mungu anayechukizwa na dhambi (Matendo 5:31; Wakolosai 3:13; na kuendelea.
Me kuma zai iya bayyana wannan canjin canji ban da Almasihu wanda ya tashi daga matattu ya bayyana gare su?,Nini kinachoweza kuelezea huu mpadiliko wa ghafula mbali na Kristo aliyefufuka na kuonekana kwao?
"Idan da gaske mutum yana son sanin Allah, Allah zai bayyana kansa.","Kama mtu amenuia kumjua Mungu, Mungu atajudhihirisha kwake."
English,English
"Duk da yake a bayyane yake karara cewa babban farin kursiyin shari'a shine hukunci na karshe, Krista basu yarda da yadda ya shafi sauran hukunce-hukuncen da aka ambata a Littafi Mai Tsarki ba, musamman, wadanda za'a yiwa hukunci a babban farin kursiyin hukunci.",Hii ni hukumu ya wale wasio Wakristo ambayo watahukumiwa kulingana na kazi yao na kuhukumiwa ile hukumu ya ziwa la moto.
Wahayin Yahaya 20:11-15 ya ba da bambanci tsakanin hades da ƙorama ta wuta.,Ufunuo 20:11-15 unatupa tofauti halisi kati ya maneno hayo mawili kifungoni (sheol) na kuzumuni (hades).
Daga ina na zo?,Nilitoka wapi?
"Wannan bai mai da mataye da rashin muhimmanci ba, ko ta halin ƙaƙa, amma alhali kuwa ya basu aiki mafi zura ido mai jituwa da yadda Allah ya basu baiwa.",Hili haliwafanyi wanawake kuwa si wa muhimu sana ila kuwapa mtazamo katika huduma ambao una kubalika mbele za Mungu.
"Duk da cewa Littafi Mai Tsarki guda 66 ne da aka rubuta a nahiyoyi biyu (ko kuma mai yiwuwa uku), a cikin yarurruka daban-daban guda uku, tsawon shekaru kimanin 1500 da sama da marubuta 40 suka yi, ya kasance littafi guda daya ne daga farko zuwa karshe ba tare da sabani ba.","Ingawa Bibilia iko na vitabu 66 vilivyo andikiwa katika bara mbili ama tatu, katika lugha tatu tofauti katika muda wa kadri miaka 1500 na takribani waandhishi 40 au zaidi na inabaki kuwa kitabu kimoja kilicho jumulishwa kutoka mwanzo hadi mwisho bila kuhitalafiana."
Kalmar nan “rai” na iya nufin duka bangarorin mara mutuntaka da kayan duniya.,Neno “nafsi” laweza maanisha mwili wa nche na mwili wa ndani wa mwanadamu.
Gano baiwarmu ta ruhaniya ana iya cika ta hanyoyi da yawa.,Kutambua sehemu zetu za kipawa laweza kamilishwa katika njia mbali mbali.
"Yesu Kiristi ya kawo ƙarshen wannan, yana rusa bangon rarrabuwa na ƙiyayya (Afisawa 2:14).","Yesu Kristo anaweka kikomo kwa mambo haya, akauaribu ule ukuta wa uadui (Waefeso 2:14)."
"Wanda ba shi da Ɗan Allah kuwa, ba shi da rai.","Yeye aliye naye Mwana, anao huo uzima; asiye naye Mwana wa Mungu hana huo uzima."
Ya kamata mu bincika ko an sake haihuwar mutumin cikin Ruhun Kristi (Yahaya 3:3-8) kuma idan shi ko ita suna da irin wannan sha'awar game da kamanin Kristi (Filibbiyawa 2:5).,Lazima tujue ikiwa huyu mtu ameokoka katika roho wa kristo (Yohana 3:3-8) na kama huyo mtu ako na nia ile kama ya kristo (Wafilipi 2:5).
"Sanin cewa Duniya kadai tana tallafawa rayuwa a cikin tsarin hasken rana, masanan suna matukar tsananin neman wata duniyar a wata duniyar ta daban don tallafawa ra'ayin cewa lallai rayuwa ta samo asali.","Tukijua kwamba ardhi peke ndiyo inakimu maisha katika jua letu, wavumbuzi wanataka kwa vyovyote vile kugundua sayari nyingine katika jua lingine la kukimu maisha ili waunge dhana kuwa maisha yalijibuka."
"Kamar yadda uba yake da aminci a abin koyi, abin da yara suka koya game da Allah zai sanya su cikin kyakkyawan matsayi a duk rayuwarsu ta duniya, komai abin da suka yi ko kuma inda suka tafi.","Kwa vile baba ni mwaminifu kwa kuwa kielelezo, chenye watoto watasoma kuhusu Mungu kitawaweka katika kanuni nzuri na kuishi katika maisha yao yote duniani, haijalishi ni nini watafanya au ni wapi wataenda."
"Shan sigari bashi da kasa da gafartawa kamar kowane zunubi, ko don mutum ya zama Krista ko Krista ya furta zunubinsa ga Allah (1 Yahaya 1:9).","Uvutaji unasemehewa sawa na vile dhambi zingine, hata kama mtu atakuwa Mkristo au Mkristo akiri dhambi zake kwa Mungu (1 Yohana 1:9)."
Amsa,Jibu
"Idan ya zama abin da zai ruɗar da kai ko jin kunya game da shi idan wasu sun gano shi, a zama mai yiwuwa ainun cewa ta zama zunubi ne.",Ikiwa dhambi ya tamaa na kuangalia picha za ngono itaachwa na kushindwa –shida ya kujichua itaisha.
"A takaice, coci ba gini bane ko kuma darika.","Kwa ufupi, kanisa si jingo ama dini."
Amsa,Jibu
"Zakariya 12:10 da Wahayin Yahaya 1: 7, suna kwatanta dawowar ta biyu, duba baya ga an huda Yesu.","Zekaria 12:10 na Ufunuo Wa Yohana 1:7 zaelezea kukuja kwake mara ya pili, wanaangalia nyuma vile Yesu alichomwa mkuki."
"A dā, Allah yana magana da mutane wani lokaci a mafarki.",Mungu alinena na watu mara nyingi sana kwa maandiko kupitia kwa ndoto.
"In kuwa muka san kome muka roƙa yana sauraronmu, mun tabbata mun sami abin da muka roƙa a gare shi ke nan” (1 Yahaya 5:14-15).","Na kama tukijua kwaba atusikia, tuombacho chote, twajua kwamba tunazo zile haja  tulizomwomba” (1 Yohana 5:14-15)."
"Da jaraba rayukan su da kuma cewa suna da yarda su mutu (sau tari mutuwar azaba) ga abin da sun gaskata a ciki, ya zama maza-maza sarai cewa waɗannan talakawa duk da haka salihan mutane da gaske ne sun gaskata cewa Allah yayi magana da su.","Tukuchunguza maisha ya watu hawa na ya kwamba walikuwa tayari hata kufa kwa ajili ya uaminifu wao kwa Mungu kwa ajili ya yale waiyoyaamini; Inathibitisha kuwa, watu hawa wanyonge na waaminifu walikuwa na uhakika kwamba Mungu kweli alikuwa amezungumza nao."
Yi imani da Yesu Kiristi (Yahaya 3:16; Ayukan Manzanni 16:31).,Mwamini Yesu na utaokoka (Yohana 3:16; Matendo ya Mitume 16:31).
Sayenku aka yi da tamani.,Wala ninyi si mali yenu wenyewe; maana mlinunuliwa kwa thamani.
"Sojojin da ke tsaye suka ci gaba (duk da cewa an raba su tare da mulkin bayan mutuwar Sulemanu) har zuwa 586 B.C., lokacin da Isra'ila (Yahuza) ta daina kasancewa a matsayin ƙungiyar siyasa.","Jeshi lilisimama liliendela (ingawa liligagwanyika kwa kugwagwanyikwa kwa ufalme baada ya kifo cha Suleimani) hadi mwaka 586 B.C., wakati Israeli (Yuda) ziliangamizwa kama taifa huru kisiasa."
Koma zuwa shafin gida na Hausa,Rudi kwa ukurasa wa nyumbani wa Kiswahili
"Abin al'ajabi shine Allah ya ba wa waɗanda suka karɓi dansa Yesu a matsayin mai ceton su ikon yin ƙauna kamar yadda yake yi, ta wurin ikon Ruhu Mai Tsarki (Yahaya 1:12, 1 Yahaya 3:1, 23-24).","(Yohana 1:12; 1Yohana 3:1, 23-24)."
Koma zuwa shafin gida na Hausa,Rudi kwa ukurasa wa nyumbani wa Kiswahili
English,English
"Koyaushe a shirye don yin magana game da imanin ku (1 Bitrus 3:15), yin hakan cikin tawali'u da girmamawa.",Wees altyd gereed om jou geloof te deel (1 Petrus 3:15) en doen so met sagmoedigheid en respek.
"A mafi yawancin, Isra'ila ta kasa wannan aikin.",Kwa sehemu nyingi Israeli ilikosea katika jukumu hili.
"Yadda Ibraniyawa 4;12 ke faɗi, ita rayayyiya ce da ƙarfi kuma takan iya huda ga zukatan mu ta tumbuke dukkan zurfafan damuwar da bisa ganin mutum ba a iya rinjaye ta ba.",Kama waebrania 4:12 inavyosema Neno la Mungu liko hai na lina nguvu ya kupenya ndani ya nafsi zetu kung’oa lile tatizo ambalo mwanadamu hangeweza kulitatua.
Yana da mahimmanci a tuna cewa wannan alƙawarin dole ne a cika shi a zahiri kuma bai riga ya cika ba.,Dit is belangrik om te weet dat hierdie belofte letterlik sal geskied en dat dit nog nie plaasgevind het nie.
"Su horoskop, tarot su kain, Ilimin taurari, bokaye, karatun dabino, da kuma lokutan motsa jiki sun faɗi cikin wannan rukunin.","Buruji, vicheza ramli, watazamaji mizimu, watabiri mambo mazuri, waichunguzao mitende, na mkusanyiko wa kuwasiliana na pepo yote yako katika kikundu hiki."
"Dujal zai aikata “ƙazamar lalacewa” kuma ya kafa surar kansa don a yi masa sujada a haikalin Urushalima (Daniyel 9:27; 2 Tassalunikawa 2:3-10), wanda za a sake gina shi.","Mpinga Kristo atafanya “maovu yasiyo kubaliwa” na kuweka mfano wake uabudiwe katika hekalu la Yerusalemu (Danieli 9:27; 2 Wathesalonike 2:3-10), ambayo ilikua imekwisha jengwa."
"Ta yaya mafi kyawun tarbiyya zai iya zama aiki mai wahala a koya, amma yana da mahimmanci.","Vile unaweza kurudi mtoto wako vizuri sana laweza kuwa jambo gumu kujifunza, lakini ni la muimu."
Kauna tana da motsin rai mai ƙarfi.,Mapenzi ni mhemuko wa nguvu sana.
"Kanda Manzo Bulus ya faɗa, “don wannan abu ba a ɓoye aka yi shi ba” (Ayyukan Manzanni 26:26).","Kama mtume Paulo alvyosema, “mambo haya hayakufanyika pembeni” (Matendo 26:26)."
Ba’a bayar da gafara domin mutumin ya cancanci a gafarta masa ba.,Mtu hapewi msamaha kwa sababu anastahili kusamehewa.
Amsa,Jibu
"Bugu da ƙari da takamaimai da’awar Yesu game da Kansa, almajiran sa kuma sun yarda da Allahntakar Kiristi.","Pamoja na mengine yote Yesu aliyoyasema juu yake mwenyewe, wanafunzi wake waliamini u mungu wake pia."
"Afisawa 5:24 ya ce, “Kamar yadda Ikkilisiya take bin Almasihu, haka kuma mata su bi mazansu ta kowane hali.” A cikin aure, yin biyayya ne na ba da girma da girmamawa ga miji (duba Afisawa 5:33) da kuma kammala abin da ya rasa.","Hakuumbwa kutoka kwa kichwa chake ili amtawale, au kutoka kwa miguu yake ili akanyagigwe chini, lakini kutoka kwa ubafu wake ili awe kiwango kimoja naye, chini ya mabawa zake ilie akingwe, na karibu na moyo wake ili apendwe.” Wakristo wanastahili kuwa na utiifu kwa wao wenyewe kwa kumcha Kristo (Waefeso 5:21)."
"Na biyu, mu tuna cewa Allah Allah ne mai ban al'ajabi.","Pili, hebu tukumbuke Mungu ni Mungu wa miujiza."
"Ba ya jin tausayin magabtansa, waɗanda zai ci su da yaƙi gabadaya kuma su jefa su cikin “tafkin wuta mai ci da zafin wuta” (aya 20).","Hatakuwa na huruma kwa maadui wake, ambao atawashinda kabisa na kuwatupa katika “ siwa la moto uchomao” (aya ya 20)."
"“Horo da tsautawa suna ba da hikima, amma yaron da aka sangarta zai jawo wa mahaifiyarsa kunya” (Misalai 29:15).","Kitabu cha Methali kiko na wingi wa hekima kuhusu kuwalea watoto, kama vile, “Fimbo na maonyo hutia hekima; Bali mwana aliyeachiliwa humwaihisha mamaye” (Methali 29:15)."
"An bayyana hukuncin mugaye da suka mutu a jahannama ko'ina cikin Littafi a matsayin “wuta ta har abada” (Matiyu 25:41), “wuta mara ƙarewa” (Matiyu 3:12), “kunya da raini madawwami” (Daniyel 12:2), wuri inda “wutar ba a kashe ta” (Markus 9:44-49), wurin “azaba” da “wuta” (Luka 16:23-24), “hallaka ta har abada” (2 Tassalunikawa 1:9), wuri inda “hayaƙin azaba ke tashi har abada abadin” (Wahayin Yahaya 14:10-11), da kuma “tafkin ƙibiritu mai ƙuna” inda miyagu suke “shan azaba dare da rana har abada abadin” (Wahayin Yahaya 20:10).","Adhabu ya wafu wenye dhambi jahannamu imeelezwa katika Bibilia yote kama “moto wa milele” (Mathayo 25:41), “moto usiozimika” (Mathayo 3:12), “aibu na kudharauliwa milele” (Danieli 12:2), mahali ambapo “moto hauzimiki (Mariko 9:44-49), mahali pa “mateso” na “moto” (Luka 16:23-24), “uaribivu wa milele” (2 Wathesalonike 1:9), mahali ambapo “moshi wa maumivu yao hupanda juu hata milele na milele” (Ufunuo 14:10-11), na “ziwa la moto” mahali ambapo wenye dhambi “watateswa usiku na mchana milele yote” (Ufunuo 20:10)."
Yesu ba zaɓi ba ne--- Shi ne mai kyau.,"Yesu si chaguo tu, Yeye ndiye chaguo!"
"Littafi Mai Tsarki ya ce idan muka zo sama, za mu “zama kamarsa [Yesu]; gama za mu gan shi yadda yake” (1 Yahaya 3:2).","Bibilia yasema kuwa wakati tutafika mbinguni, “tutafanana naye [Yesu]; kwa kuwa tutamwona vile alivyo” (1 Yohana 3:2)."
"Kulawa - samar da yanayi na tallafi na magana koyaushe, yanci don kasawa, yarda, soyayya, kauna mara iyaka (Titus 2:4; 2 Timothawus 1:7; Afisawa 4:29-32; 5: 1-2; Galatiyawa 5:22; 1 Bitrus 3:8-9)","Kurudi- kuwafunza kumcha Mungu, kuwa na msimamo kila wakati, kuwa wa upendo na wenye msimamo imara (Waefeso 6:4; Waebrania 12:5-11; Methali 13:24; 19:18; 22:15; 23:13-14; 29:15-17)"
Wasu kuma zasuyi jayayya cewa dole ne a sami tabbatacciyar gaskiya ko gaskiya.,Wengine watapinga kuwa lazima kuwa na ukweli au uhalisi.
Yesu yana da’awa da shine kaɗai hanyar ceto ( Yahaya 14:6).,Yesu alidai kuwa yeye pekee ndiye njia ya uzimani (Yohana 14:6).
"Dalilin yin azumi a cikin littafi mai tsarki ba shine a rasa nauyi ba, a'a shine samun zurfin zumunci da Allah.","Kufunga kusichukuliwe kuwa “ratiba ya chakula.” Lengo la kibibilia la kufunga sio kupunguza uzito, bali kupata ushirika wa ndani na Mungu."
Wurin ya ci gaba da cewa babu jituwa tsakanin Kristi da Ibilis (Shaidan).,"Ufahamu huu unaendelea na kusema kuwa, hakuna upatano wowote kati ya Kristo na Berieli (Shetani)."
Allah ya kira mu zuwa ga bauta masa cikin biyayya cikin komai.,Mungu anatuita kwa unyenyekevu tumtumikie katika mambo yote.
Me yasa ba zaka kashe kanka ba?,"Rafiki yangu, Mungu yuko tayari kukiunda upya kile “kimevunjika”… kama yale maisha uliyonayo sasa unayotaka kuyamaliza kwa kujiua."
"A wurare da yawa na duniya, da alama Allah yana amfani da wahayi da mafarkai da yawa.","Katika sehemu nyingi za dunia, Mungu anaonekana akitumia maono na ndoto sana."
Abu mai mahimmanci a tuna shine babu wanda ya cancanci samun ceto.,Kitu cha maana kukumbuka ni kwamba hakuna anayestahili kuokolewa.
Bangaskiyar Kirista dangantaka ce da Allah saboda abin da ya yi mana ta wurin hadayar Yesu Kiristi.,Imani ya kikristo ni uhusiano na Mungu kwa sababu yale ametufanyia kupitia kwa kusulubiwa kwa Yesu Kristo.
"Sa’anda Yesu ya mutu kan gicciye, Ya kawo ga karshen dokar Tsohon Alkawari (Romawa 10:4; Galatiyawa 3:23-25; Afisawa 2:15).","Yesu alipokufa msalabani, alimaliza matumizi ya sheria ya agano la kale (Warumi 10:4; Wagalatia 3:23-25; Waefeso 2:15)."
"“Amma fa ina so ku fahimci cewa, shugaban kowane mutum Almasihu ne, shugaban kowace mace kuwa mijinta ne, shugaban Almasihu kuma Allah ne” (1 Korantiyawa 11:3).","“Lakini nataka mjue ya kuwa kichwa cha kila mwanamume ni Kristo, na kichwa cha mwanamke ni mwanamume, na kichwa cha Kristo ni Mungu” (1 Wakorintho 11:3)."
Littafi Mai Tsarki kuma bata taƙura wa mataye daga koyar wa yara ba.,Biblia pia haiwazuii wanawake kuwafundisha watoto.
"Ikilisiya ya zama ta ""Krista,"" ""kamar Kristi,"" da masu bin Kristi.",Kanisa inastahili kuwa “Mkristo” “kama Kristo” na kufuata nyayo za Kristo.
"Filibiyawa 4:6-7 suna ƙarfafa mu, “Kada ku damu da kome, sai dai a kowane hali ku sanar da Allah bukatunku, ta wurin yin addu'a da roƙo, tare da gode wa Allah.","Wafilipi 4:6-7 yatupa moyo kuwa, “Msijusumbue kwa neno lolote; bali katika kila neno kwa kusali na kuomba, pamoja na kushukuru, haja zenu na zijulikane na Mungu."
"Koyaya, Littafi Mai-Tsarki yayi magana game da muminai masu tsari waɗanda suna cikin shirinsa.",Ingawa Bibilia yazungumzia hizi dini za tamaduni ambazo ni baadhi ya mpango wake.
"Mafi kyawun abin da za mu iya yi shi ne yi musu addu’a, da yi musu shaida, da rayuwar rayuwar Kirista a gabansu, da dogara cewa Ruhu Mai Tsarki zai yi aikin zane, shawo, da juyowa.","Kizuri tutakacho kifanya ni kuwaombea, kuwashuhudia, na kuishi maisha ya Kikristo mbele yao, tukiamini kwamba Roho Mtakatifu atafanya kazi ya kuwavuta, kuwathibitishia na kuwageuza."
Anyi wannan magana ma da dan ƙarfi sa’anda wani ya lura cewa Yahweh ya faɗa Shi kaɗai ne yana nan a loton halitta (Ishaya 44:24).,Jambo hili linatia msisitizo wakati tunapochukulia ya kwamba Yahweh aliumba akiwa peke yake.
"Ubana, wanda ya bani su, yafi duka girma, ba kuwa mai iya ƙwace su daga ikon Uban” (Yahaya 10;28-29b).","Baba yangu, aliyenipa hawa ni mkuu kuliko wote; hakuna awezaye kuwatoa mikononi mwa Baba yangu” (Yohana 10:28-29b)."
Abubuwa sun faru a rayuwata waɗanda ba su da bayyanin yiwuwa dabam ban da Allah.,Maoni ya kwanza yasema kwa kuwa Mungu ni kile ambacho zaidi yake hakuna.
"Da zaran dokar ƙasar ta saɓawa dokar Allah, ya kamata mu ƙi bin dokar ƙasar kuma mu bi dokar Allah.","Pindi tu sheria ya nchi inahitilafiana na amri ya Mungu, tunastahili kuikataa sheria ya nchi na kutii sheria ya Mungu."
Ya yi iƙirarin cewa ya sami ziyarar sirri daga Allah Uba da Yesu Kiristi wanda ya gaya masa cewa duk majami'u da ƙa'idodansu abin ƙyama ne.,Alisema kwamba alitembelewa na Mungu Baba na Yesu Kristo ambaye alimwambia kwamba Makanisa yote na kanunu zao za imani zilikuwa chukizo kwake.
"Amma Allah ya bamu alƙawarnasa masu al’ajabi game da addu’a (Matiyu 7:7-11; Luka 18:1-8; Yahaya 5:14-15, da sauransu).",Paulo mara kwa mara arudia kueleza vile alikuwa akiwaombea wale aliokuwa akiwahudumia.
"Samfura da Daidaici - rayuwa abin da ka fada, zama abin koyi da yaro zai iya koya daga gare shi ta hanyar ""kama"" asalin rayuwar ibada (Kubawar Shari'a 4:9,15, 23; Misalai 10:9; 11:3; Zabura 37:18, 37).","Kuwa mfano mwema kwa maadili- kuishi chenye unasema, kuwa kielelezo kutoka kwacho mtoto ataweza kujifunza kwa “kushika” hizi tabia za kuishi maisha ya uungu (Kumbukumbu  La Torati 4:9, 15, 23; Methali 10:9; 11:3; Zaburi 37:18, 37)."
"Idan babu cikakkiyar gaskiya, babu mizanin adalci da kuskure wanda dukkanmu muke lissafawa, to ba za mu taɓa tabbata da komai ba.",Na hakuna mtu anayeweza sema mambo haya ni maovu.
Amsa,Jibu
Yesu yana tilasta su su fahimci cewa Allah yana hukunta tunanin mutum da ayyukansa.,Yesu anawalazimisha kugundua kwamba Mungu anahukumu mawazo ya mtu vilevile na matendo.
"Za ku yi dukan ayyukanku cikin kwana shida, amma rana ta bakwai keɓaɓɓiya ce ga Ubangiji Allahnka.","Maana, kwa siku sita BWANA alifanya mbingu, na nchi, na bahari, vyote vilivyomo, akastarehe siku ya saba; kwa hiyo BWANA akaibarikia siku ya Sabato akaitakasa.” Amri hii ni kutenga Sabato (Jumamosi, siku ya mwisho ya juma) kama siku ya kupumzika ambayo imetolewa kwa Mungu."
Farawa 15:6 ta gaya mana cewa Ibrahim ya gaskanta da Allah kuma hakan ya isa ga Allah a jinjina masa don adalci (duba Romawa 4:3-8).,"Mwanzo 15:6 yatuambua kwamba Abrahamu alimwamini Mungu, hiyo ilitosha Mungu akamhesabia jambo hili kuwa haki (pia angalia Warumi 4:3-8)."
Amsa,English
"Mulkinka yă zo, A aikata nufinka a duniya kamar yadda ake yi a Sama.","Mathayo 6:9-13 yasema, “Basi ninyi salini hivi; Baba yetu uliye mbinguni, Jina lako litukuzwe, Ufalme wako uje, Mapenzi yako yatimizwe, hapa duniani kama huko mbinguni."
Labaran su na Tsohon Alkawari suna ba da shaidar albarkar zaɓar bangaskiya akan tsoro.,Wao ni mashahidi wa kristo na Mungu na kweli.
Nazarin Littafi Mai Tsarki za a iya kwatanta shi da haƙar zinare.,Kuichunguza Bibilia kunaweza linganishwa kuchimba migodi/dhaabu.
"Duk da haka, littafin Timoti na 1 babu inda ta ambaci Atamis  ba, ko ma a ce Bulus ya ambaci sujadar Atamis a matsayin dalili na taƙura wa cikin 1Timoti 2:11-12).","Jina la prisila linatajwa kwanza,kuashiria alikuwa maarufu zaidi katika huduma kuliko mumewe.hakuna mahali alipoelezwa kufanya huduma yoyote ambayo ni kinyume na Timotheo wa kwanza 2: 11-14. walimleta kwa pamoja Apolo nyumbani mwao na kumfanya mwanafunzi kwa kumfundisha neno la Mungu kwa uhakika (matendo 18:26)."
"Zamanintaka, a matsayin tsari, yana haifar da fassarar farkon zuwan duniya ta zuwan Almasihu na biyu kuma yawanci fassarar fyaucewa.","Mfumo wa dini kama mpangilio, umetokea kwa fasiri ya miaka elfu moja kabla Yesu arudi mara ya pili na fasiri ya taabu kabla ya unyakuzi."
"Koyaya, ba a bayyane yake aikin hana daukar ciki ba ne ya sa Ubangiji ya kashe Onan; Manufofin son kai ne na Onan suka aikata aikin.","Ingawa, haikuwa kabisa tendo la kutumia tembe za upangaji uzazi ambazo zilimfanya Mungu amwue Onani; bali ilikuwa tama iliyokuwa katika kitendo."
