yo,sw
Oro naa ni Greki tumo si ‘ahan’ ti o je “ede.” Nitori naa ebun ahan je ede ti Olorun ti fun wa lati ba enia ti ko mo ede naa soro ni ede ti eni naa ko mon.,Na kwa njia hii mtu huyu anaweza kuitafsiri hotuba hiyo ili kila mmoja akafahamu yasemwayo katika lugha hiyo ngeni.
"Fún onígbàgbọ́ tí ó ti di àtúnbí, èyí túmọ̀ sí wípé kí a má ṣe bẹ̀rẹ̀ ìbáṣepọ̀ tí o ní ìfarakíni pẹ̀lú ẹnikẹ́ni tí kìí ṣe onígbàgbọ́ kan bákanáà.","Kwa Mkristo ambaye ameokoka, hii inamaanisha kuwa usianze uhusiano wa karibu na mtu yeyote ambaye si Mkristo."
English,English
Ko si ohun rere ti a le se lati wo orun (Titu 3;5).,"Yeye ndiye mtu ambaye Mungu ame “mtukuza juu sana” kuliko watu wote (Wafilipi 2:9, KCV)."
Bawo ni enia se le ni Emi Mimo?,Je mtu hujazwaje na Roho Mtakatifu?
Bibeli so fun wa wipe ko si ona miran fun igbala afi Kristi nikan.,Uzima wa milele kule mbinguni wawezekana tu kupitia Kristo.
Idahun,English
"Bíbélì kò sọ ní pàtó pé àwọn ènìyàn tó wà l'ọ́run kò lè wò wá, fún ìdí èyí a kò jẹ́ gbàá bẹ́ẹ̀.","Pia ikiwa uwezekano kuwa Mungu huko mbinguni anawaruhusu kuwalinda waenzi wao, Bibilia haitupi sababu yoyote ya kuonyesha kuwa kweli haya yalitokea."
Ibere naa bere leyin igba ti won ni tani Jesu.,Mjadala huzuka wakati wa utambuzi kamili wa Yesu kristo unapojadiliwa.
"Bí èyí ti jẹ́ òtítọ́, kí ló wá mú kí sìgá mímu tọ̀nà?","Hii ikiwa kweli, ni namna gani uvutaji unaweza kuwa sawa?"
"Ṣùgbọ́n, ó ṣe pàtàkì láti mọ àwọn nńkan tí a ṣe ìlérí láti pa onígbàgbọ́ mọ́ kúrò.",Yote yana maana inayoweza kuaminika wa neno la Kiyunani (Kigiriki) ambalo limetafsiriwa “kutoka.” Ingawa ni muimu kutambua chenye wateule wameahidiwa watachungwa kutoka.
Ọlọ́run nípa àbùdá Rẹ̀ jẹ́ àìyípadà (kìí yípadà).,Mungu kwa hali yake mwenyewe habadiliki.
"Heberu 4:12 so fun wa, E kiyesara, ara, ki okan buburu ti aigbagbo ki o mase wa ninu enikeni nyin, ni lilo kuro lodo Olorun alaye.",Kama waebrania 4:12 inavyosema Neno la Mungu liko hai na lina nguvu ya kupenya ndani ya nafsi zetu kung’oa lile tatizo ambalo mwanadamu hangeweza kulitatua.
Èyí kìí ṣe èróngbà Ọlọ́run.,Hii sio lengo la Mungu.
Paulu soro nipa awon ti ohun gba adura fun awon ti ohun wasu fun.,Paulo mara kwa mara arudia kueleza vile alikuwa akiwaombea wale aliokuwa akiwahudumia.
Wọ́n máa ńfarahàn níwájú Ọlọ́run (Jobu 1:6; 2:1).,Wanaleta mbele za Mungu (Ayubu 1:6; 2:1).
"Ṣùgbọ́n, nígbà tí àwọn ańgẹ́lì jẹ́ ẹ̀dà abẹ̀mí (Heberu 1:14), wọn lè gbé àgọ́ ara ènìyàn wọ̀ (Marku 16:5).","Ingawa malaika ni viumbe wa kiroho (Waebrania 1:14), wanaweza kuwa katika umbo la mwili (Mariko 16:5)."
E se fu nife ti e ni si mi ati fun iku Jesu ti o ku fun mi.”,"Rafiki yangu, Mungu yuko tayari kukiunda upya kile “kimevunjika”… kama yale maisha uliyonayo sasa unayotaka kuyamaliza kwa kujiua."
"Pe mi nigba iponju, emi yio si gba o la, iwo yi o gbe mi ga (Orin Dafidi 50:15).",Mruhusu akuongoze kuvuka hali hiyo ya kukata tamaa na akufikishe katika uhalisi wa nuru yake.
"Bíbélì hàn kedere wípé àwọn aláìgbàgbọ́ ńfi ìbínú ṣúra fún ara wọn (Romu 2:5) àti wípé Ọlọ́run yóò ""san án fún olúkúlùkù gẹ́gẹ́ bí iṣẹ́ rẹ̀"" (Romu 2:6).",Bibilia ii wazi kuwa wasio Wakristo wanajiwekea ghadhabu wao wenyewe (Warumi 2:6) na kwamba Mungu “atakayemlipa kila mtu kwa dadiri ya matendo yake” (Warumi 2:6).
"Ẹ̀kẹta, Ẹ̀mí Mímọ́ ńgbé nínú àwọn onígbàgbọ́ láíláí.","Tatu, Roho Mtakatifu unakaa kwa Wakristo milele."
"Ore, Oluwa n pe lati tun ile aye re se……, bi igbesi aye re ni sin yi, ti o si pa ara re.","Njoo kwa Yesu, ili akuregeshee furaha na umuhimu wako huku ukimtumainia yeye kuanza kazi mpya maishani mwako."
Idahun,Jibu
Ọ̀pọ̀lọpọ̀ àwọn ènìyàn sọ wípé ohun àkọ́kọ́ tí wọ́n fẹ́ ṣe nígbàtí wọ́n bá dé ọ̀run ni làti rí gbogbo àwọn ọ̀rẹ́ àti olólùfẹ́ wọn tí wọ́n ti kú ṣáájú wọn.,"Watu wengi wanasema kitu cha kwanza wangetaka kufanya wakati watafika mbinguni ni kuwaona marafiki wao, wapendwa wao waliolala mbeleni."
Ohun gbogbo ni ó yẹ fún mi—ṣùgbọ́n kìí ṣe ohun gbogbo ni ó ní èrè.,"“Vitu vyote ni halali kwangu, lakini si vyote vifaavyo; vitu vyote ni halali kwangu, lakini mimi sitatiwa chini ya uwezo wa kitu cho chote” (1 Wakorintho 6:12)."
Jesu ni lati je Oluwa lati le dariji wa.,Ilimlazimu Yesu kuwa Mungu ili alipe deni zetu.
"Ibùgbé àwọn táa gbàlà tún ńjẹ́ ""àyà Abrahamu"" (KJV) tàbí ""ihà Abrahamu"" (NIV) nínú Luku 16:22 àti ""párádísè"" nínú Luku 23:43.",Ndio kulingana na (Waefeso 4:8-10 na 1Petero 3:18-20).
"Láti mọ àti láti túmọ̀ àwọn àyọkà inú Ìwé Mímọ́ tí ó sọ nípa àwọn ìṣẹ̀lẹ̀ òpin ayé, a ní láti ní ìmọ̀ yékéyéké nípa nǹkan méjì yìí: ọ̀nà tí ó tọ́ láti túmọ̀ Ìwé Mímọ́ àti iyàtọ̀ tí ó wà láàrin Isrẹli (àwọn Júù) àti ìjọ (àpapọ̀ gbogbo onígbàgbọ́ nínú Jésù Kristi).",Daar is egter twee aspekte wat duidelik verstaan moet word: ‘n behoorlike manier om verse te vertok (begryp) en die onderskeid tussen Israel (Jode) en die kerk (die liggaam van gelowiges in Jesus).
"Nígbàtí a gbà wípé ìrìbọmi ti Ẹ̀mí Mímọ́ tún ńwáyé ní àkókò ìgbàlà, àwọn Kristiẹni kan kò faramọ.","Tunaposhikilia kwamba ubatizo wa Roho pai watokea wakati wa wokovu, wakristo wengine hawaupokei."
Baba n se gbogbo ise yi nipa agbara Emi Mimo.,Haya yote Baba ayatenda kupitia Roho Mtakatifu.
Kò sí òdiwọ̀n sí ohun tí Ọlọ́run lè ṣe.,Hakuna kizuizi kwa kile Mungu anataka kukitenda.
"Gbogbo Ìwé-Mímọ́ tí ó ní ìmísí Ọlọ́run ni ó sì ní èrè fún ẹ̀kọ́, fún ìbáni-wí, fún ìtọ́ni, fún ìkọ́ni tí ó wà nínú òdodo: kí ènìyàn Ọlọ́run kí ó le pé, tí a ti múra sílẹ̀ pátápátá fún iṣẹ́ rere gbogbo (2 Timoteu 3:16).","“Kila andiko, lenye pumzi ya Mungu, lafaa kwa mafundisho, na kwa kuwaonya watu makosa yao, na kwa kuwaongoza, na kwa kuwaadibisha katika haki; ili mtu wa Mungu awe kamili, amekamilishwa apate kutenda kila tendo jema” (2 Timotheo 3:16-17)."
"Ní ọ̀rọ̀ míìrán, ìtẹ́ ìdájọ́ funfun ńlá nínú Ifihan 20:11-15 ni yóò jẹ́ ìgbà tí ó ṣeéṣe kí á ṣe ìdájọ́ àwọn onígbàgbọ́ àti aláìgbàgbọ́.","Kwa njia nyingine, kile kiti kikuu cheupe cha hukumu katika Ufunuo 20:11-15 utakuwa wakati Wakristo na wasio Wakristo watahukumiwa pamoja."
Eyi ohun inu miran ti a fi le fi mon wipe Bibeli je otito oro Olorun ni a o ri ninu iwe awon woli.,"Lengine katika ushahidi wa ndani, lapatikana katika unabii ulioorodheshwa ndani ya kurasa za biblia."
Idahun,Jibu
Ó gba ìgbàgbọ́ púpọ̀ látí jẹ́ ẹni tí kò gbàgbọ́ nínú Ọlọ́run látí jẹ́ ẹnìkan tí ó gbàgbọ̀ wípé Ọlọ́run wà.,Dit neem net soveel geloof om ‘n ateïs te wees as ‘n teïs.
"Fífi ẹsẹ̀ múlẹ̀ ìbáṣepọ̀ ẹni èyítí o lọ sóké pẹ̀lú Ọlọ́run ní ipa tí ó jinlẹ̀ láti ríi dájú wípé ìbáṣepọ̀ láàrín ọkọ àti aya jẹ́ èyítí ó pẹ́, tí ó bu ọlá fún Ọlọ́run.","Kudumisha uhusiano na Mungu na vilevile kuangalia kuwa uhusiano wako na mke/mume woko umedumishwa, na kwa hivyo utakuwa wa kumheshimu Mungu."
Ìmísí àpérò ìfẹnusọ kíkún jẹ́ àbùdá Ọ̀rọ̀ Ọlọ́run tí ó ṣe pàtàkì.,Usemi wa nguvu pia ni kitambulisho muimu cha neno la Mungu.
Jésù san gbèsè ìràpadà wa láti dá wa sílẹ̀ kúrò nínú ìgbèkùn!,Yesu alilipa fidia yetu ili atuweke huru kutoka utumwa!
O so wipe- Emi Mimo ni Olorun.,Kwa kifupi biblia inasema kwamba Roho mtakatifu ni Mungu.
Idahun,Jibu
Wíwo àwòrán ènìyàn ní ìhòhò jẹ́ bárakú (1 Kọrinti 6:12; 2 Peteru 2:19) àti ìparun (Owe 6:25-28; Esikiẹli 20:30; Efesu 4:19).,"Ponografia humvutia mtu na kuwa mazoea (1 Wakorintho 6:12; 2 Petero 2:19), na ni ya kuharibu (Methali 6:25-28; Ezekieli 20:30; Waefeso 4:19)."
Idahun,Jibu
"A nílò láti ráńtí wípé ara wa, àti ọkàn wa, ti di ìràpadà ó sì jẹ́ ti Ọlọ́run.","Tunastahili kukumbuka kwamba miili yetu, hata nafsi zetu, zote zimekombolewa na zote ni za Mungu."
Ọ̀pọ̀ ìbéèrè ni àwọn onímọ̀ ti bèèrè tí Ọlọ́run ti dáhùn fún wa nínú Ìwé mímọ́.,Kuna maswali mengi ambayo wachanganusi wa Bibilia wameuliza ambayo Mungu ametujibu kupitia Bibilia.
2) Ǹjẹ́ ara Krístì l'ápapọ̀ ti gba ìwé náà wọlé?,Kitabu kimekubalika na makanisa yote?
"Àti le rí àwọn olólùfẹ́ wa jẹ́ ara ògo ọ̀run, ṣùgbọ́n ọ̀run ńsọ púpọ̀ nípa Ọlọ́run, àti díẹ̀ nípa wa.","Kuweza kuwaona wapendwa wetu ni jambo la utukufu mbunguni, lakini zaidi ya yote mbunguni yote ni juu ya Mungu na sio juu yetu kujuana."
"Nísìnyí tí ìfihàn Ọlọ́run ti pé nínú Bíbélì, àwọn ẹ̀bùn ""ìfihàn"" ni a kò nílò mọ́, ó kéré jù ní ìwọ̀n bí a ṣe nílò wọn nínú Májẹ́mú Titun.","Sasa kwa sababu ufunuo wa Mungu umekamilika katika Bibilia, ufunuo wa vipawa hauitajiki tena, kwa karibu lakini si kiwango sawa vile ilikuwa wakati wa Agano Jipya."
"Nígbà kan náà, ìwé oníwàásù 3:8 sọ wípé, ìgbà fífẹ́, àti ìgbà ìkóríra; ìgbà ogun, àti ìgbà àlàáfíà"" Nínú ayé tí ó kún fún ẹ́ṣẹ̀, ìkóríra àti ibi (Romu 3:10-18), ogun jẹ́ kò ṣé maní.","Kwa wakati huo huo, Mhubiri 3:8 yasema, “Kuna wakati wa kupenda, na wakati wa kuchukia; Wakati wa vita, na wakati wa amani.” Katika ulimwengu ambao umejawa na dhambi, chuki na uovu (Warumi 3:10-18), vita ni lazima."
O so fun wa pe ki ama se gbagbe ara wa bi akan se le gbagbe sugbon ki a ma  ran ara wa lowo nipa ife ati ise rere ( Heberu 10: 24-25.,Anatuamuru tusiache kukusanyana pamoja kama kawaida za watu wengine zilivyo bali tuutumie wakati wa kuwa pamoja kwetu kwa kutiana moyo katika upendo na matendo mema (Waebrania 110:24-25).
Ìfojúsí òfin àti ìrúbọ ẹ̀sìn ní ìsòro.,Kuzifuata sheria na tamaduni za dini ndio shida.
"Nitori pe Oluwa wa ni ife wa, o si fe aye rere fun wa (Sugbon igbesi aye to o ni ona otito).",Haya ni sawa na maisha ya kikristo.
Jésù pàṣẹ fún wa wípé kí á fẹ́ràn ọmọnìkejì wa gẹ́gẹ́ bí Òun ṣe fẹ́ràn wa (Johannu 13:34).,Yesu anatuamuru tuwapende wengine jinsi tunavyojipenda (Yohana 13:34).
"Ṣùgbọ́n, ó tọ́ka si wípé ańgẹ́lì ò kí ńgbéyàwó.","Vile imekwisha nakiliwa udhaifu wa mtazamo wa kwanza ni kwamba Mathayo 22:30 yasema, “Kwa maana katika kiyama hawaoi wala hawaolewi, bali huwa kama malaika mbinguni.” Ingawa ujumbe huu hausemi kuwa “malaika hawana uwezo wa kuoa.” Bali wasema kuwa malaika hawaoi."
"Ṣùgbọ́n Ọjọ́ Ìsinmi jẹ́ ara Òfin Májẹ̀mú Láíláí, àwọn onígbàgbọ́ sì bọ́ lọ́wọ́ ìdè òfin (Galatia 4:1-26; Romu 6:14).",Bali sabato ni sehemu ya sheria ya Agano La Kale na Wakristo wako huru kutoka kwa mkono wa sheria (Wagalatia 4:1-26; Warumi 6:14).
"Àwọn ipòruúru kọ̀ọ̀kan tí ó jẹyọ láti inú ẹsẹ̀ bíbélì bíi Orin Dáfídì 16:10-11 gẹ́gẹ́bí ìtumọ̀ inú ẹ̀ya King James: ""Nítorí ìwọ kì yíò fi ọkàn mi sílẹ̀ ní ipò-òkú; bẹ́ẹ̀ni ìwọ kì yíò jẹ́ kí Ẹni Mímọ́ kí o rí ìdibàjẹ́.","Wakati Yesu alilia msalabani, “Mungu wangu, Mungu wangu mbona umeniacha?” (Mathayo 27:46), ni wakati huo alitenganishwa na Baba kwa sababu ya dhambi zetu zilizotunikwa kwake."
"Ni ibere, nigbati Olorun bere pelu okunrin kan ati obinrin kan, nitori naa, iran keji ni lati fe ara won.","Sababu ya madhara ya ndoa za kaka na dada ni kwamba kama kila mmoja wao alikuwa na hali Fulani ya kilema ndani yaoya kurithi basi atakayezaliwa atakuwa mwenye kurithi kutoka kwa wote wazazi wawili, hivyo basi kuwa hali mbaya zaidi kuliko waliomzaa."
Ìgbèkùn kúrò nínú kínni?,Utumwa wa nini?
Èyí wáyé lẹ́yìn àkókò ìpọ́njú ṣùgbọ́n ṣáájú ẹgbẹ̀rún ọdún; ète rẹ̀ ni láti mọ ẹnití yóò wọ ìjọba ẹgbẹ̀rún ọdún.,Hii itafanyika baada ya kipindi cha matezo kabla ya ufalme wa miaka elfu moja; lengo lake ni kutambua ni nani atakayeingia katika ufalme wa miaka elfu moja.
"Bí gbogbo onígbàgbọ́ bá ní agbára láti ṣe àwọn iṣẹ́ àmì àti iṣẹ́ ìyanu, nígbà náà àwọn iṣẹ́ àmì àti iṣẹ́ ìyanu kò lè jẹ́ àmì láti dá Apọsteli mọ̀.","Kama kila Mkristo katika Kristo alikua amejiami na  uwezo wa kutenda ishara, maajabu na miujiza, kwa hivyo, ishara, maajabu na miujiza hivyo basi aingekuwa ishara ya mitume."
"Abi naa, se lai se gbogbo ona lo lo si orun?","Je, waonaje kuhusu dini isiyokemea maovu, isiyo weka mahitaji au vikwazo, na ambayo haijafungwa au kuzingirwa na usumbufu mwingi wa vihitajikavyo na visivyo hitajika kufanywa?"
"Nígbàtí ìwé Daniẹli 9:27 ti sọ wípé èyí yóò ṣẹlẹ̀ ní ààrin ọ̀sẹ̀, tí ìwé Ifihan 13:5 sọ wípé ẹranko yìí yóò ṣe èyí fún oṣù 42 ( méjìlélógójì), ó rọrùn láti sọ wípé àkójọpọ̀ àkókò náà jẹ́ osù mẹ́rìnlélọ́gọ́rin (84) tàbí ọdún méje.","jinsi Danieli 9:27, inasema kuwa haya yatatokea katikati mwa majuma, na Ufunuo Wa Yohana 13:5 yasema kuwa mnyama atafanya hivyo kwa kipindi cha miezi 42, ni rahisi kuona kuwa muda wote ni miezi 84 au miaka saba."
Bíbélì hàn kedere lórí bí ẹnìkan ṣe le yàgò fún lílọ sí ọ̀run-àpáàdì lẹ́yìn ikú.,Die Bybel is baie duidelik daaroor hoe ‘n mens die hel na jou dood kan vermy.
Gbígba ore-ọ̀fẹ́ Ọlọ́run nípa Jésù Kristi nìkan soso ni ọ̀nà fún ènìyàn láti bọ́ lọ́wọ́ ẹ̀ṣẹ̀ àti ìyàpa ayérayé kúrò l'ọ́dọ̀ Ọlọ́run.,Ni kwa kukubali neeme ya Mungu pekee kupitia Yesu Kristo watu wanaweza kuokolewa kutoka dhambini na kuepuka mauti ya milele pasipo na tumaini.
Báwo ni àwọn Ajẹ́rìí Jèhófà ṣe fẹ́ sọ di ìtẹ́wọ́gbà àwọn ẹ̀kọ́ wọ̀nyìí tí kò bá bíbélì mu?,Ni namna gani Mashahidi wa Yehova wanathibitisha kanuni hii isiyo ya kibibilia?
"Gege be, Olorun ti fun awon okonrin ni ase lati je oluko ninu ijo re.","Kwa sababu hiyo basi, Mungu amewapa wanaume jukumu na mamlaka ya kufundisha katika kanisa."
"Ìwò Kristiẹni nípa ayé mú wa gbàgbọ́ nínú ìhùwàsí rere/ẹ̀kọ́ ilé, iṣẹ́ ìyanu, iyì ènìyàn àti wípé ìràpadà ṣeéṣe.","Mtazamo wa Kikristo unatuelekeza kuamini, miujiza, utu, na uwezekano wa kukombolewa."
"Bi a ti se so, ko si ni da ti kristiani ba ni wipe ohun mu oti lati be Olorun ga (1 Korinti 10;31).",Kwa mujibu wa haya ni vigumu mkristo kukiri kuwa anakunywa kileo kwa utukufu wa Mungu ( wakorintho wa kwanza 10;31).
Ẹṣẹ̀ tó tún nííṣe pẹ̀lú ìmísí Ìwé-Mímọ́ ni Peteru keji 1:21.,"Kwa sababu ni la pumzi ya Mungu, Bibilia ina mamlaka yote ukifika wakati wa kuweka imani, na yatosha kufundisha mwanadamu jinsi ya kuwa na uhusiano mwema na Mungu."
"Ó se pàtàkì láti mọ ìyàtọ̀ gedegbe tí ó wà láàrin Isrẹli àti ìjọ, nítorí wípé, tí a bá ṣi èyí mọ̀, a ma a ṣi Ìwé Mímọ́ túmọ̀.","Dit is uiters belangrik dat Israel en die kerk apart gehou moet word, indien nie sal die Skrif verkeerd vertolk word."
Lati mo ona Oluwa ma n je ohun ti o le.,Mungu hutaka tufanye uamuzi sawa na mapenzi yake.
"Bí àwa bá gbàdúrà fún nǹkankan tí kò fi ọlá fún Ọlọ́run tàbí tí kìí ṣe ìfẹ́ Ọlọ́run fún ayé wa, Ọlọ́run kò ní fún wa ni ohun tí a béèrè fún.","Kama tutaomba juu ya kitu fulani ambacho hakimweshimu Mungu ama chenye sio mapenzi ya Mungu katika maisha yetu, Mungu hatatupa chenye tunauliza."
"A pè wá láti jí ìhìnrere fún àwọn tí ó ti sọnù, kìí ṣe láti wà ní tímọ́tímọ́ pẹ̀lú wọn.","Tumeitwa kuwahubiria injili wenye wamepotea, sio kuwa na uhusiano wa kimapenzi nao."
"Bibeli so wipe, “Nitori Olorun fe araiye to be ge, ti o fi omo bibi re kansoso fuuni ki enikeni ti o ba gba a gbo ma ba segbe sugbon ki o le ni iye ainipekun” (Johannu 3; 16).","Bibilia inasema hivi “Kwa maana jinsi hii Mungu aliupenda ulimwengu, hata akamtoa mwanawe pekee, ili kila mtu amwaminiye asipotee, bali awe na uzima wa milele” (Yohana 3:16, TMP)."
Gbogbo ọlọrun míìrán jẹ àwọn ọlọrun èké.,Kuunda sanamu imwakilishe Mungu ni kuabudu miungu ya uongo.
"Nítorí ẹ̀ṣẹ̀ wa, a ní ẹ̀tọ́ sí ìyapa ayérayé kúrò l'ọ́dọ̀ Ọlọ́run (Romu 6:23).","Kwa sababu ya dhambi zetu, tunastahili kutenganishwa na Mungu milele (Warumi 6:23)."
"Jésù ni ìrètí ìbùkún wa, kò sí ẹlòmíràn (Titu 2:13).","Kwa vile hakuna husuni, machozi, ama kasiriko mbinguni (Ufunuo 21:4), haionekani kuwa inawezekana kuona yanayochiri ulimwenguni."
"Yóò wá rí bíi wípé àbùdá ẹ̀ṣẹ ńti ìran kan bọ́ sí ìran míìrán nípasẹ̀ bàbá (Romu 5:12, 17.","Itaonekana kuwa hali ya dhambi itapitishwa kutoka kizazi hadi kizazi kingine kupitia kwa baba (Warumi 5:12, 17, 19)."
"Jésù wá jíǹde, ń ṣe àfi hàn pé ikú Rẹ̀ tó láti san gbèsè ẹ̀ṣẹ̀ wa ni tòótọ́ (1 Kọrinti 15).",Yesu hapo akafufulia kuonyesha kuwa kifo chake kilitosha kweli kulipa hukumu ya dhambi zetu (1Wakorintho15)
Pada si oju ewe Yorùbá,English
"Ní ọ̀nà yi bákannáà, Jésù ni ọmọ Ọlọ́run.",Vile vile Yesu mwana wa Mungu.
"Bí àwọn oníṣẹ̀dá ẹfolúṣàn bá jẹ́ òtítọ́, ayé kò ní ìtumọ̀ nígbà náà, a kò ní èrèdí, kò lè sí ohun tí ó tọ́ tàbí tí kò tọ́.","Ujipushi ambao haukasababishwa na mtu yeyote ni wa kweli, basi maisha hayan maana, hatuna lengo, na hakutawai kuwa na uzuri au ubaya halisi kamwe."
Gbèsè máa ńjẹ́ kí á di ẹrú ẹni tí ó pèsè owó tí a yá.,Deni hasa hutufanya kuwa mtumwa kwa yule anayetupa mkopo.
A kò gbọ́dọ̀ lo èyí láti fi tùmọ̀ wípé Jésù tako ìjìyà ikú nínú gbogbo ìṣẹ̀lẹ̀.,Hii isitumike kuonyesha kuwa Yesu alikataa hukumu ya kifo katika matukio yote.
Bibeli ko w ape ise rere owo wa ko le je ohun ti ere lowo Olowa.,Biblia inatufundisha ya kwamba matendo yetu mema tunayoyatenda hayawezi kutufanya tukubalike mbele za Mwenyezi Mungu.
"Fún àpẹẹrẹ, iyàrá tí ó kún fún ọgọ́rún (100) ọ̀bọ àtí ọgọ́rún (100) ẹ̀rọ ayárabíàṣá lé gbé ọ̀rọ̀ díẹ̀ jáde, tàbi kó tilẹ̀ jẹ́ ọ̀rọ̀ tí ó pọ̀, ṣùgbọ̀n kò lè pèsè eré Ṣekíspiẹ̀.","Kwa mfano, nyumba ambayo imejazwa nyani 100 na tarakilishi 100 hatimaye zinaweza toa maneno machache, au pengine hata sentensi, lakini kwamwe haitawai toa mhigizaji."
"Ní ìbẹ̀ẹ̀rẹ̀ pẹ̀pẹ̀, a gbọ́dọ̀ jẹ́wọ́ wípé ènìyàn, tí kìí ṣe ti títí láíláí, àílòpin, tàbi mọ ohun gbogbo, kò lè lérò láti mọ gbogbo ète àti àwọn ọ̀nà Ọlọ́run l'ẹ́kùnrẹ́rẹ́.",Kila nukta ya dakika tunapokuwa na uai ni kwa neema na rehema za Mungu.
"Ìdáhùn náà wá ní kánkán òun ìrọ̀rùn: ""Gba Jésù Krístì Olúwa gbọ́, a ó sì gbà ọ́ là"" (ẹ̀ṣẹ̀ 31).","Die antwoord was vinnig en eenvoudig: “Glo in die Here Jesus Christus en jy sal gered word, jy en jou huisgesin” (vers 31)."
"Bíbélì fihàn kedere wípé ìgbàlà wá nípa ore-ọ̀fẹ́ nìkan, nípasẹ̀ ìgbàgbọ́ nìkan, nínú Jésù Kristi nìkan (Johannu 3:16; Efesu 2:8-9; Johannu 14:6).",Bibilia ii wazi kwamba wokovu ni kwa neema kaitka imani pekee iliyo katika Yesu pekee (Yohana 3:16; Waefeso 2:8-9; Yohana 14:6).
Iwe naa si ti yi opolopo igbesi aye pada fun.,Ni kitabu kilichobadilisha maisj\ha na tamaduni kwa muda wote wa miaka 2000 iliyopita.
"Ní ìgbà kańnáà, Bíbélì fi ààwẹ̀ gbígbà hàn bíi nǹkan tí ó dára, níye lórí, tí ó sì ṣe ni ní ànfààní.","Kwa wakati huo huo, Bibilia inawazilisha kufunga kama kitu ambacho ni kizuri, cha muimu na cha manufaa."
"Àti pẹ̀lú, tí ìkún omi náà bá jẹ́ ti àgbègbè ni, kílódé tí Ọlọ́run fi sọ wípé kí Nóà kan ọkọ̀ dípò kí ó sọ pé kí ó kúrò, kí ó sì mú kí àwọn ẹranko ṣí kúro?","Pia, kama gharika ingekuwa ya sehemu moja, ni kwa nini Mungu alimwambia Nuhu ajenge safina badala ya kumwambia Nuhu asonge na awafanye wanyama nao pia wasonge?"
Jésù kú láti san gbèsè ìjìyà ẹ̀ṣẹ̀ wa (1 Johannu 2:2).,Yesu alikufa ili alipe hukumu ya dhambi (1 Yohana 2:2).
"Lótìtọ́ọ́ wọn kò ní àgọ́ ara, síbẹ̀ wọ́n ní àbùdá ènìyaǹ.","Ingawa hawana mwili, bado wako na hali ya mwili."
Ìwàláàyè Ọlọ́run ni a kò lè fihàn tàbì àìfihàn nípa ṣí ṣe ìwádì àti àṣìṣe.,God se bestaan kan nie deur ondervinding bewys of ontken word nie.
Idahun,English
“Nitori iku ni ere ese” (Romu 6:23).,"“Kwa maana mshahara wa dhambi ni mauti” (Warumi 6:23, TMP)."
Idahun,Jibu
Iṣẹ́ míìrán tí a fún ìjọ ni láti polongo ìhìnrere ìgbàlà nípasẹ̀ Jésù Kristi (Matteu 28:18-20; Iṣe àwọn Apọsteli 1:8).,Jukumu liningine kanisa imepewa ni ile kuitangaza injili ya wokovu kupitia Yesu Kristo (Mathayo 28:16-20; Matendo Ya Mitume 1:8) kanisa limeitwa kuwa aminifu katika kushiriki injili katika usemi na katika matendo.
