Idariji ko see fi eto gba tabi ti owo ra lati odo Olorun.,"Yesu alifufuka katika wafu, akishuhudia ushindi Wake juu ya dhambi na mauti (1 Wakorintho 15:1-28)."
"Jésù Kristi kéde wípé ""kò wàá kí á ba máa ṣe ìránṣẹ́ fún òun, bíkòṣe láti máa ṣe ìránṣẹ́ fúnni, àti láti fi ẹ̀mi rẹ̀ ṣe ìràpadà fún ọ̀pọ̀lọpọ̀ ènìyàn"" (Marku 10:45).","Yesu Kristo alisema ya kwamba “hakuja kutumikiwa, bali kutumika, na kutoa nafsi yake iwe fidia ya wengi” (Marko 10:45)."
"Ní àyọrísí ìfẹ́ Rẹ̀ fún wa, Ọlọ́run di ènìyàn Ẹni tíí ṣe Jésù Kristi.",Kwa ajili ya upendo wake kwetu Mungu akwa mwanadamu katika mwili wa Yesu Kristo.
"Nípa ore-ọ̀fẹ́ Ọlọ́run, a ti di àtúnbí sí ayé titun gẹ́gẹ́ bíi ọmọ Ọlọ́run.","Kwa nehema ya Mungu ambayo inatusaidia kutubu na kuwa na imani katika Mwokozi na Bwana, tumezaliwa maisha mapya kama wana wa Mungu."
"A sin Jésù ní ìrọ̀lẹ̀ Ọjọ́'rú, èyítí ó bẹ̀ẹ̀rẹ̀ ní Ọjọ́ bọ̀ nínú kàlẹ̀ńdà àwọn Júù.","Yesu alizikwa yapata saa za jioni siku ya Jumatano, ambayo kwa kalenda ya Kiyahudi ilikuwa inaanza Alhamisi."
"Nípasẹ̀ Adamu, ìtẹríba fún ẹ̀ṣẹ̀ wọ inú ìran ènìyàn, àwọn ọmọ ènìyàn síì di ẹlẹ́sẹ̀ nípa ara.","Kupitia kwa Adamu urithi wa dhambi uliingia katika kizazi cha mwanadamu, na mwanadamu akawa mwenye dhambi kihali."
"Àwọn ilẹ̀ ibi tí Sọlómọ́nì jọba lé kò sí ní abẹ́ Isrẹli mọ́ lónìí, bẹ́ẹ̀ sì ni Sọlómọ́nì kò jọba mọ́ lórí Isrẹli mọ́ lónìí.",Die gebied waaroor Salomo geheers het word nie vandag deur Israel bewoon nie en heers Salomo nie meer oor die Israel van vandag nie.
"Ní tòótọ́, àtubọ̀tán ìbáwí gbọ́dọ̀ jẹ́ fún rere ọmọ, kò sì gbọdọ̀ jẹ́ ìdáláre láti ṣe àṣìlò àti ìlòkulò àwọn ọmọ.",Kweli maonyo malengo yake lazima yawe ya manufaa kwa mtoto na kamwe yasitumike kuidhinisha dhuluma kwa mtoto.
Ọ̀rọ̀-òdì sí Ẹ̀mí Mímọ́ níí fi ṣe pẹ̀lú fífi ẹ̀sùn kan Jésù Kristi wípé ẹ̀mí èṣù gbée wọ̀ dípò kíkún fún Ẹ̀mí-Mímọ́.,Kuendelea kukataa Roho Mtakatifu ambao watusukuma kuwa na imani katika Yeus Kristo ni kufuru isiyosamehewa.
"Nitorina ẹniti o ba tapá si aṣẹ, o tapá si ìlana Ọlọrun: awọn ẹniti o ba si ntapá, yio gbà ẹbi fun ara wọn.",Hivyo amwasiye mwenye mamlaka hushindana na agizo la Mungu; nao washindanao watajipatia hukumu.
"Bíbélì kò sọ gbangba wípé àwọn ẹ̀bùn iṣẹ́ ìyanu ti dáwọ́ dúró, ṣùgbọ́n ó fi ìpìlẹ̀ fún ìdí ti wọn fi lè má ṣẹlẹ̀ ní bí wọn ṣe ṣẹlẹ̀ àti bí a ṣe se àkọsílẹ̀ rẹ̀ nínú Májẹ̀mú Titun.","Bibilia haisemi wazi wazi kuwa vipawa vya miujiza vimetoweka, badala, yaweka mzingi, kwamba ni kwa nini havitaweza kutokea tena katika hali sawa na ile vilitokea wakati wa Agano Jipya."
Ohun tí o ṣe pátákí bákannáà ni ìdí tí ó fi kú—láti mú ìjìyà tó yẹ gbogbo àwọn ẹlẹ́sẹ̀ kúrò.,Kilicho cha maana sawa ni sababu iliyokufia- ili achukue adhabu amboyo wenye dhambi wote wanastahili.
"Ó se pàtàkì láti mọ ìyàtọ̀ gedegbe tí ó wà láàrin Isrẹli àti ìjọ, nítorí wípé, tí a bá ṣi èyí mọ̀, a ma a ṣi Ìwé Mímọ́ túmọ̀.","Dit is uiters belangrik dat Israel en die kerk apart gehou moet word, indien nie sal die Skrif verkeerd vertolk word."
"Nitoripe won je agbe, won si ti dagba pelu ebi ti won.","Kwa kuwa wote walikuwa wakulima, lazima wawe walikuwa watu wazima, hata pengine na jamii zao."
"Bí ó bá jẹ́ wípé a tẹ̀lé ìlànà Bíbélì fún ìbálàjà (Matteu 18:15-17), tí ẹni tí ó ṣẹ̀ ṣì tún ńṣe àṣìṣe síbẹ̀, nígbà míìrán lílo ilé-ẹjọ́ ṣeé dáláre.","Ikiwa mtindo wa Kibiibilia wa upatanisho utafuatwa (Mathayo 18: 15-17) na mwenye makosa bado angali na makosa, katika nyakati zingine koti inaweza kukubaliwa hapa."
Lẹ́hìn náà wọ́n sun ọ̀dọ́ àgùtàn náà wọ́n sì jẹẹ́ pẹ̀lú àìwúkàrà.,Huyo Kondoo baadaye alichomwa na kuliwa kwa mkate usiyo na chachu.
Ète tí ó kẹ́yìn ní ìbámu pẹ̀lú Iṣe àwọn Apọsteli 2:42 ní àdúrà.,Lengo la mwisho la kanisa kulingana na Matendo Ya Mitume 2:42 ni maombi.
"Paulu wipe, ore-ofe nipa igbagbo nikan, Jakobu si wipe igbagbo ninu Kristi nipa ise rere.",Paulo asisitiza juu ya wokovu kupitia imani pekee huku yakobo akisisitiza kuwa imani juu ya kristo huleta matendo mema.
Àti wípé Ọlọ́run ńràn wá lọ́wọ́ láti mọ ọ̀tún yàtọ̀ sí òsì nípa ẹ̀ri ọkàn wa (1 Tímoteu 1:5; 1 Peteru 3:16).,Mungu hutusaidia kubainisha kati ya zuri na baya kupitia kwa hisia zetu (1 Timotheo 1:5; 1 Petero 3:16).
Òtítọ́ ńlá yìí ni àtìlẹyìn gidi lórí ohun tí a ṣe àti ibi tí a lọ.,Ukweli mkuu lazima uwe na dira kuu ya yote tufanyayo na kwenye tunaenda.
"Bákannáà, ní ìbámu pẹ̀lú ìjìyà ayérayé àti ìgbàlà, bákannáà ní gbogbo ẹ̀ṣẹ̀ rí.","Kwa wakati huo huo kuambatana na madhara yote ya milele na wokovu, dhambi zote ni sawa."
"Agbára àti ore-ọ̀fẹ́ Ọlọ́run ni o ńgba ènìyàn là, kìí ṣe ipá wa.",Dit is God se krag wat mense red en nie ons eie krag of werke nie.
"Nígbàtí wọn bá mọ̀ọ́mọ̀ọ̀ d'ẹ́ṣẹ̀ lòdì sí Òun tí wọn bẹ̀rẹ̀ sí ní sin òrìṣà, Ọlọ́run yóò ba wọn wí.","Ingawa tunaposoma Agano la Kale na Agano Jipya, inabainika kwamba Mungu habadiliki kutoka agano moja hadi lingine na ghadhabu na upendo wake zimefunuliwa katika agano zote."
"Bí o bá ní ìbádọ́rẹ̀ẹ́ pẹ̀lú aláìgbàgbọ́, kínni yóò ṣe pàtàkì jùlọ fún ọ, fífi ìfẹ̀ hàn tàbí jíjèrè ọkàn fún Kristi?","Kama ulikua unachumbiana na  mtu asiyeokoka, kipaumbele chako cha kwanza kitakuwa, mapenzi au kumleta huyo mtu kwa Kristo?"
"Gbogbo wa nílò láti máa kọbiara sí ipò ara wa nínú ayé yìí, ṣùgbọ́n kí nǹkan ẹ̀mí kàn wá púpọ̀ (Romu 12:1-2).",Zote tunastahili kuwaza sana hali yetu ya mwili katika ulimwengu huu na tujishughulishe na hali yetu ya kiroho (Warumi 12: 1-2).
Ìgbàgbọ́ àwọn ènìyàn nípa Sàtanì wà jákèjádò—láti ọmọ ọkùnrin kékeré pupa oního tí ó jókóò lórí èjìká ènìyàn láti mú ni dẹ́ṣẹ̀ àti sí àwòrán tí ó ṣàlàyé àfiwé tàrà fún ibi.,"Imani ya watu kuhusu shetani huwa tofauti kutoka kutojua hadi upotovu kutokana kwa kijana mdogo mwekundu aliye na pembe anaketi juu ya mabega yako akikusii utende dhambi, ni elezolimetolewa likitambulisha jinsi dhambi simehuishwa."
"Ti o ba fe gba Jesu Kristi gege bi Olugbala, wo adura ranpe yi.","Tunapokubali kwamba kifo cha Yesu msalabani ni malipo kamili ya dhambi zetu dhidi ya Mungu, tumeahidiwa si tu maisha mema duniani bali pia uzima wa milele mbele ya kristo."
4) Kọ́ láti pa ara rẹ mọ́ ní mímọ́ (1 Tẹsalonika 4:3-4).,Rudi kwa ukurasa wa nyumbani wa Kiswahili
"Nínú àwọn ẹṣẹ̀ wọ̀nyìí o lè rí àwọn ""ẹ̀rí"" púpọ̀ nípa àjíǹde Kristi.",Kutoka ukurasa huu utapata utipitisho wa kutosha wa ufufuo wa Yesu.
"Jesu wipe, “Emi wa kin won le ni iye, ani kin nwon le ni lopolopo (Johannu 10;10).","Yesu alisema: “mimi nalikuja ili wawe na uzima, kisha wawe nao tele” (Yohana 10:10, TMP)."
"Bi o ba seje nipa oro agbere ninu igbeyawo, eyi ko nipe ki a se ikosile, bikosepe o ti sele ninu igbeyawo naa.","Kukubaliwa huku,ijapokuwa hakukutajwa moja kwa moja katika maandiko, ni huruma ya Mungu kwa yule aliyetendewa dhambi wala si kwa aliyetenda dhambi ya zinaa."
"“Nitori ore-ofe li a ti fi gba nyin la nipa igbagbo; ati eyini ki ise tie yin tikaranyin; ebun olorun ni- ki ise nipa ise, ki enikeni ma ba sogo” (Efesu 2;8-9).","Hii ni zawadi kutoka kwa Mungu, si kwa matendo, ili mtu awaye yote asije akajisifu.” (Waefeso 2:8-9, KCV)."
"Ọlọ́run mọ̀ wípé Ádámù àti Éfà yóò dẹ́ṣẹ̀, tí wọ́n yóò sì mú ibi, ìjìyà àti ikú wọ ayé nípa rẹ̀.","Mungu alijua Adamu na Hawa watatenda dhambi na kwa hivyo wateleta dhambi, mateso na kifo katika ulimwengu."
"Ti o b a je wipe yahweh ni won gun ni oko, ti won si wo, ti o si je wipe Jesu ni won gun ni oko ti won si wo, Jesu si ni Yahweh naa.","Kama ni Yahweh mwenye kupasuliwa na mwenye kutazamwa, na Yesu ndiye aliyepasuliwa na kutazamwa basi Yahweh ni Yesu."
"2 Korinti 5:4 ko wa wipe, Nitori aw ti mbe ninu ago yi nkerora nitoto, eru npa wa: ki ise nitori ti awa nfe ije alaiwoso sugbon ki a le wo wa li aso ki iye ki o le gbe ara kiku mi.","Warumi 6:23a yasema, “Kwa maana mshahara wa dhambi ni mauti...” (TMP), Mauti ya milele ndicho tulichojipatia kama mshahara wa dhambi zetu."
"Nítorí ẹ̀ṣẹ̀ wa, a ní ẹ̀tọ́ sí ìyapa ayérayé kúrò l'ọ́dọ̀ Ọlọ́run (Romu 6:23).","Kwa sababu ya dhambi zetu, tunastahili kutenganishwa na Mungu milele (Warumi 6:23)."
"Kí ìdàńwò ìgbàgbọ́ yín, tí ó ní iye lórí ju wúrà tí íṣègbé lọ, bí ó tilẹ̀ ṣe wípé iná li à fí ńdán-an wò kí á le ríi fún ìyìn, àti ọlá, àti nínú ògo ní ìgbà ìfarahàn Jésù Kristi.""","1 Petero 1: 6-7 yatukumbusha, “Mnafurahi sana wakati huo, ijapokuwa sasa kwa kitambo kidogo ikiwa ni lazima, mmehuzunishwa kwa majaribu ya namna mbalimbali; ili kwamba kujaribiwa kwa imai yenu, ambayo ina thamani kuu kuliko dhahabu ipoteayo, ijapokuwa hiyo hujaribiwa kwa moto, kuonekane kuwa kwenye sifa na utukufu na heshima, katika kufunuliwa kwake Yesu Kristo.”"
Ọlọ́run kò fẹ́ kí ẹnikẹ́ni kí o lọ sí ọ̀run-àpáàdì (2 Peteru 3:9).,God wil nie hê dat enigeen hel toe moet gaan nie (2 Petrus 3:9).
"Bóyá ju ǹkankan lọ, Sàtánì ti yege láti lọ́jú àti láti yí ìbálòpọ̀ po.","Ingawa zaidi ya kitu cho chote, shetani amefaulu katika kugeuza na kupotosha jinsia."
Ó jẹ́ ọ̀rọ̀ tí Ọlọ́run ńpàrọwà irú àwọn ìwé tí ó gbọ́dọ̀ wà nínú Bíbélì fún àwọn olùtẹ̀lé Rẹ̀.,Ilipelekea ushawishi wa Mungu kwa mwanadamu wanaomwamini kuamini ni kitabu gani kitakua katika Bibilia.
Ìtẹríba gbọ́dọ̀ jẹ́ ìdáhùn àìfagbáraṣe sí ìdarí tí ó kún fún ìfẹ́.,Kutii ni jukumu la kimaumbile kwa uongozi wa kupendeza.
Ọ̀pọ̀lọpọ̀ ìwé mímọ́ jẹ́ kí ó hàn kedere l'ọ́pọ̀lọpọ̀ wípé ìgbàlà wa ní a pamọ́ ní kété tí a gba Kristi gẹ́gẹ́ bíi Olùgbàlà.,Maandiko mengi zaidi sana yaifanya kuwa wazi kwamba wokovu wetu tutaupata tukimpokea Yesu kama mwokozi wetu.
"Gbígbé inú Ẹ̀mí kìí ṣe fún àwọn onígbàgbọ́ kan tí a yàn, ṣùgbọ́n fún gogbo àwọn onígbàgbọ́.","Kudumu kwa Roho Mtakatifu aupo kwa baadhi ya wakristo, bali ni kwa Wakristo wote."
"Àríyànjiyàn tí ó wọ́pọ̀ láti ọ̀dọ̀ àwọn aláìgbágbọ́ nínú Ọlọ́run àti oníyèméjì ni wípé ohun gbogbo ló ní orísun, à ti fún ìdí èyí Ọlọ́run náà gbọ́dọ̀ ní orísun.","Wazo la pamoja la wasiomwamini Mungu na wanaomshuku Mungu, ni kama vitu vyote vinaitaji mwanzo, kwa hivyo Mungu lazima ahitaji mwanzo."
Gbogbo àbùdá Ọlọ́run ni o wà ni ìṣọ̀kan pípé.,Sehemu zote za Mungu kwa pamoja zimekamilika.
"Ańgẹ́lì kan sọ àsọtẹ́lẹ̀ fún Hagari wípé Iṣmaili yóò ""gbé ní èdè-àìyedè pẹ̀lú gbogbo àwọn arakùnrin rẹ̀"" (Jẹnẹsisi 16:11-12).",Malaika alitabiria Haga kuwa Ishmaeli “ataishi kwa uadui na nduguze wote”(Mwanzo 16:11-12).
"Nínú èyí ni àwọn ọmọ Ọlọ́run ń farahàn, àti àwọn ọmọ èsù: Ẹnikẹ́ni tí kò bá ń ṣe òdodo kì íṣe ti Ọlọ́run, àti ẹnití kò fẹ́ràn arákùnrin rẹ̀"" (1 Johannu 3:7-10).","kama ndiyo, tafadhali bonyeza kwa “Nime mkubali Kristo hivi leo” hapo chini."
"Ní àkọ́kọ́ yóò dàbi wípé bí Ọlọ́run bá dá ohun gbogbo, nígbà náà ó gbọ́dọ̀ jẹ́ wípé a dá ibi nípasẹ̀ Ọlọ́run.","Mwanzo yaweza oneekana ya kwamba ikiwa Mungu aliumba vitu vyite, kwa hivyo hata uovu uliumbwa na Mungu."
"Ìfẹ́kùfẹ́ ẹlòmíràn ní ọkàn wa, èyítí ó jẹ́ gbòǹgbò wíwo àwòrán ènìyàn ní ìhòhò, ńbí Ọlọ́run nínú (Matteu 5:28).","Kutamani watu wengine katika mawazo, ambayo ni hali ya ponografia, ni dhambi kwa Mungu (Mathayo 5:28)."
"Bi ẹyin ba si bere li orukọ mi, emi o ṣe e.” Àwọn kan ńṣi ẹsẹ yìí múlò, tí wọn ro wípé sísọ wípé “ní orúkọ Jésù” ní òpin àdúrà máa ńjẹ́ kí Ọlọ́run dáhùn nígbàgbogbo ohun ti a bèrè.","Mkiniomba neno lo lote kwa jina langu nitalifanya.” Wengine wanaitumia vipaya aya hii, wakidhani kwamba kwa kusema “kwa jina la Yesu” katika mwisho wa maombi yao, huwa Mungu ajibu mahitaji yao."
Ẹ̀mí ni Ọlọ́run (Johannu 4:24) nítorí náà a kò lè rí Òun tàbí fi ọwọ́ kàn-án.,"Hebreërs 11:6 sê dat sonder geloof “is dit onmoontlik om God te behaag; want hy wat tot God gaan, moet glo dat Hy is en ‘n beloner is van die wat Hom soek.” God is Gees (Johannes 4:24) en kan dus nie gesien of aangeraak word nie."
"Ṣugbọn iwọ, nigbati iwọ ba ńgbaàwẹ, fi ororo kun ori rẹ, ki o si bọju rẹ ki iwọ ki o maṣe farahan fun enia pe iwọ ńgbaàwẹ, bikoṣe fun Baba rẹ ti o nbẹ ni ìkọ̀kọ̀; Baba rẹ ti o si riran ni ìkọ̀kọ̀ yóò san a fun ọ ni gbangban.""","Bali wewe ufungapo, jipake mafuta kichwani, unawe uso; ili usionekane na watu kuwa unafunga, ila na Baba yako aliye sirini; na Baba yako aonaye sirini atakujazi."
"Kò sí ẹni tí ó lè wá sọdọ Baba bíkòṣe nípasẹ mi.""","Om dit te ontken, is om Jesus Self te verloën, want dit is Hy wat verklaar het, “Ek is die weg en die waarheid en die lewe; niemand kom na die Vader behalwe deur My nie” (Johannes 14:6)."
"Ọjọ́ ìsinmi tí ó jẹ́ ọjọ́ mímọ́ ńlá (Ìrékọjá) wáyé ni Ọjọ́'bọ̀, àwọn obìnrin náà ra tùràrí (lẹ́yìn náà) ni ọjọ́ Ẹtì, wọ́n sì padà, wọ́n sì pèse àwọn tùràrí náà l'ọ́jọ́ kannáà, wọ́n sinmi ní ọjọ́ Àbámẹ́ta èyí tíí ṣe Ọjọ́ ìsinmi ọ̀sọ̀ọ̀sẹ̀, lẹ́yìn náà ni wọ́n mú àwọn tùràrí náà lọ sí ibojì ni kùtùkùtù Ọjọ́ ìsinmi.","Sabato ambayo ilikuwa siku kuu (pasaka) ilitukia Alhamisi, ambayo wanawake walinunua manukato (baada ya hiyo) siku ya Ijumaa walirudi na kuyatarisha manukato hayo siku hiyo, wakapumzika siku ya Jumamosi ambayo ilikuwa sabato ya juma, kisha wakaleta manukato kaburini Jumapili asubuhi."
Báwo ni àwa yóò ṣe sẹ ohun tí ó kéré sí èyí?,Tunawezaje kufanya chini ya hiyo?
Mi o mon bi ibalopo naa se le yato si ese miran.,Kwa sababu ya haya yote ninasema kujichua ni dhambi kwa mujibu wa Biblia.
"Bí Kristi kò bá jí dìde, níbo wá ni ara Rẹ̀ wà?","Kama Yesu hakufufuka, mwili wake uko wapi?"
"Sugbon a o jinde, ki se gbogbo enia ni yi o si lo si orun papo.","Ijapokuwa sote tutakuwa tumefufuliwa, hatutaenda sote mbinguni mahali pamoja."
"Wípé ọkùnrin náà bèèrè ìbéèrè yìí fihàn wípé ó mọ ìnílò ìgbàlà rẹ̀—ó rí ikú nìkan fúnra rẹ̀, ó sì mọ̀ wípé òun nílò ìrànlọ́wọ́.","Bloot die feit dat die man die vraag gevra het wys dat hy besef het hy het redding nodig—hy het net die dood vir homself gesien, en geweet hy het hulp nodig."
Emi Mimo naa ni on fun enia ni orisirisi ebun (1 Korinti 12:11).,( wakorintho wa kwanza 12:11).
Ǹjẹ́ ẹ̀rí kankan wà nípa wíwà òtítọ́ pátápátá?,Kunao ushahidi wo wote wa kuwepo kwa ukweli halisi?
Adura yi je gege bi ona ti a file fihan si oluwa wipe a ni igbagbo ninu re ati pe a dupe lowo re fun pipe se irapada.,Imani pekee katika kazi aliyo ikamilisha Kristo pale msalabani ndiyo njia ya kweli na pekee ifikayo uzimani!
"Gege bi Bibeli, idariji ese wa fun gbogbo enia bi ese re ba se je.",Biblia inatuambia mtu huwa shoga kwa sababu ya dhambi.
"Nítorí bí àṣọtẹ́lẹ̀ yí ṣe jọ wípé ó ńsọ nípa ènìyàn méjì, ọ̀pọ̀ àwọn onímọ̀ Júù gbàgbọ́ wípé Mesiah èyí tó jìyà àti èyí tó ṣẹ́gun ni yóò wà.","Kwa minajili ya unabii unaonekana kuzungumzia watu wawili, wachanganusi wengi wa Kiyahudi wanaamini kwamba wote Masia wawili watatezeka na Masia washindi."
"Bí kò bá si ọkankan ninú méjèji ti ó ni ẹ̀ri tabi ti kò ni ẹ̀ri, ó jẹ́ ohun ọlọgbọ́n láti sa gbogbo ipá làti ṣe àyẹ̀wò fínífíní ipò náà tí o lè ti ní àìlópin àti ayérayé sí àbájáde ìkẹhìn tí à ń fẹ́ jùlọ.","As nie een van die twee sienings bewys of weerlê kan word nie, blyk dit wys te wees om alle pogings aan te wend om die siening wat ‘n oneindige en ewige meer begeerlike eindresultaat mag hê, deeglik te ondersoek."
"Àwọn Kristiẹni á máa fi èso ẹ̀mí hàn (Galatia 5: 22-23, kìí ṣe iṣẹ́ ẹran ara (Galatia 5: 19-21).","Wakristo wanaonyesha matunda ya Roho Mtakatifu (Wagalatia 5:22-23), si matendo ya mwili (Wagalatia 5:19-21)."
"Bẹ́ẹ̀ni, àwọn Kristiẹni gbọ́dọ̀ ṣe ìrìbọmi.","Naam, Wakristo lazima wabatizwe."
"Fún àpẹẹrẹ, ọ̀pọ̀lọpọ̀ ìwé nínú Bíbélì sọ nípa àwọn ańgẹ́lì.","Kwa mfano, vitabu vingi vya bibilia vinatoa habari kuhusu malaika."
Àdúrà kìí ṣe fífi àwọn ìbéèrè wa sílẹ̀ níwájú Ọlọ́run; ó túmọ̀ sí kí Òun fi ìfẹ́ Rẹ̀ sínú ọkàn wa.,"Wakati mwingine tunauliza jambo lisilo mapenzi yake Mungu kwetu, na anasema “la.” Maombi sio kuweka haja zetu kwa Mungu; ni Mungu kuweka mapenzi yake katika nyoyo zetu."
Báwo ni a ṣe mọ ẹ̀yí?,Tunawezaje kujua haya?
Ìṣe àwọn Àpọ́stélì orí 21-22 sọ nípa bí a ti mú Pọ́ọ̀lù tí wọ́n sì ro ẹ̀ṣẹ̀ tí kòdá síi lẹ́sẹ̀.,Matendo Ya Mitume mlango wa 21-22 wazungumzia kuhusu Paulo akiwa ameshikwa na kuwekelewa makosa ambayo hajayafanya.
"“Fun idi eyi,eniti o ba fie de miran soro, ki o gba adura lati tumo re.”(1 Korinti 14:13).",“ kwa sababu hii basi kila anenaye kwa lugha aombe iliaweze kuyatafsiri ayasemayo” wakorintho wa kwanza 14:13).
"Bí Ọlọ́run kìí bá ṣe ojúṣàájú, tí ó sì fẹ́ràn wa láìṣe ojúṣàájú, nígbànáà àwa nílò láti fẹ́ràn pẹ̀lú òṣùwọ̀n kańnáà tí ó ga. Jésù kọ́ wa nínú ìwé Matteu 25 wípé ohunkóhun tí a bá ṣe fún ọ̀kan nínú àwọn arákùnrin Òun wọ̀nyìí tí ó kéré jùlọ, a ti ṣe é fún Òun.","Kama Mungu si mpaguzi na anatupenda bila upaguzi, basi tunastahili kuwapenda wengine na upendo huo wa hali ya juu."
"Bíbélì bu ẹnu àtẹ́ lu ìbẹmìílò, àbọ̀dè, ẹgbẹ́ òkùnkùn, àti ìríran (Lẹfitiku 20:27; Deutaronọmi 18:10-13).","Bibilia kwa nguvu inakataa, kuitazama mizimu, kuwasiliana na wafu, na mizungu na akili (Mambo ya Walawi 20:27; Kumbukumbu La Torati 18:10-13)."
"Oluwa gbe awo omo eniyan wo, o si di eleran ara, Jesu Kristi (Johannu 1; 1, 14).","Hatua ya pili ya Ombi la mwenye dhambi ni kufahamu vile ambavyo Mungu amefanya kwa ajili ya kutibu hali ya upotevu wetu dhambini.Mungu alichukua mwili nakufanyika kuwa mwanadamu katika utu wa Yesu Kristo (Yohana 1:1,14)."
Ìṣòro kan tí ó wọ́pọ̀ pẹ̀lú àwa Kristiẹni ni ìdánwò láti rò wípé iṣẹ́ ẹ̀sìn wa sí Ọlọ́run gbọ́dọ̀ wà ní ìlànà pẹ̀lú ẹ̀bùn ẹ̀mí tí a rò wípé a ní.,"Shida moja kwa Wakristo wote ni jaribio la kudumu katika sehemu yetu ya kipawa, ndio njia pekee tutaweza kumfanyia Mungu kazi katika sehemu zetu tunajihisi tumepewa kipawa."
Àyọkà yìí fihàn kedere l'ọ́pọ̀lọpọ̀ wípé a gbọ́dọ̀ gbọ́ràn sí ìjọba tí Ọlọ́run fi lé wa lórí.,Ufahamu huu unaifanya kamili wazi kuwa tunastahili kutii serikali ambayo Mungu ameiweka juu yetu.
"Àdúrà ni orúkọ Jésù ni a kẹ́kọ̀ọ́ rẹ ni Johannu 14:13-14, “Ohunkohun ti ẹyin ba si bere li orukọ mi, oun na li emi o ṣe, ki a le yin Baba logo ninu Ọmọ.","Maombi katika Jina la Yesu linafunzwa katika Yohana 14:13-14, “Ninyi mkiomba lo lote kwa jina langu, hilo nitalifanya, ila Baba atukuzwe ndani ya Mwana."
"Ninu iwe Majemu Titun, Johannu 14:16-17 Jesu si wi fun Baba re wipe ki o ran Oluranlowo wa, ti Emi Mimo.","Katika agano jipya, Yohana 14:16-17 ndipo Yesu anazungumza na Baba juu ya kuleta Msaidizi, Roho mtakatifu."
Jesu ni lati gbe ipa nipa idajo Olorun nigba ti ese wa lori wa (Eksodu 9 ; 22: Matteu 27; 45-46; Romu 3; 21-26).,Ni kwa sababu ya kuwa mwenye haki ndiyo iligharimu Yesu kupitia hukumu kwa ajili ya dhambi zetu zipate kuondolewa (Kutoka 9:27; Mathayo 27: 45-46; Warumi 3: 21-26).
Èyí lè ní ìtumọ̀ sí nǹkan méjì.,Hii inaweza maanisha mambo mawili.
Ẹṣẹ̀ yìí sọ fún wa wípé gbogbo Ìwé-Mímọ́ l'óní ìmísí Ọlọ́run èyí sì jẹ́́ èrè fún wa.,"Umbali wa pumzi waweza kuonekan katika 2 timotheo 3:16, “Kila andiko, lenye pumzi ya Mungu, lafaa kwa mafundisho, na kwa kuwaonya watu makosa yao, na kwa kuwaongoza, na kwa kuwaadibisha katika haki.” Hii aya yatwambia Mungu aliweke pumzi yake kwa Bibilia yote na ni ya manufaa kwetu."
(1) oluwa da omo eniyan pelu ohun gbogbo (Genesisi 2; 18-25): (2) Oluwa fun omo eniyan ni ise (Genesisi 2;15); (3) Oluwa ba omo eniyan joko(Genesisi 3;8); ati (4) Oluwa fun omo eniyan ni gbogbo aye (Genesisi 1; 26); Kini eyi je?,Waumini watarithi kila kitu; Mungu atakaa pamoja nao na watakuwa watoto wake (Ufunuo wa yohana 21:7).
